,Re,LbyD,theta,Cdp,Cdv,Cd,Clp,Clv,Cl,Cdp_ref,Cdv_ref,Cd_ref,Clp_ref,Clv_ref,Cl_ref
0,20,2,0,0.8964535859803202,1.6177654331450504,2.514219019125371,0.07718569106116266,-0.04016345017098939,0.03702224089017327,1.0374037500615922,1.7644171639076465,2.8018209139692387,0.11693966739456522,-0.006374130006039513,0.11056553738852572
1,20,2,180,0.47139784284502295,0.9731178854479139,1.4445157282929368,0.1350486987914245,0.09691453780683401,0.23196323659825854,1.0374037500615922,1.7644171639076465,2.8018209139692387,0.11693966739456522,-0.006374130006039513,0.11056553738852572
2,20,2,-180,0.47139784284502295,0.9731178854479139,1.4445157282929368,0.1350486987914245,0.09691453780683401,0.23196323659825854,1.0374037500615922,1.7644171639076465,2.8018209139692387,0.11693966739456522,-0.006374130006039513,0.11056553738852572
3,20,2,15,0.8735454600914452,1.5854760782905666,2.4590215383820118,-0.05271058926458206,-0.1483349534407359,-0.201045542705318,1.0374037500615922,1.7644171639076465,2.8018209139692387,0.11693966739456522,-0.006374130006039513,0.11056553738852572
4,20,2,30,0.9255471095775187,1.6515190134759796,2.5770661230534984,-0.18263730001544595,-0.2696199327535733,-0.45225723276901925,1.0374037500615922,1.7644171639076465,2.8018209139692387,0.11693966739456522,-0.006374130006039513,0.11056553738852572
5,20,2,45,1.0545377346150933,1.7585602620018648,2.8130979966169583,-0.25998532911856237,-0.3549830047907976,-0.6149683339093599,1.0374037500615922,1.7644171639076465,2.8018209139692387,0.11693966739456522,-0.006374130006039513,0.11056553738852572
6,20,2,60,1.200373318829514,1.8886089491011142,3.0889822679306285,-0.25357584125036553,-0.3822099592154143,-0.6357858004657797,1.0374037500615922,1.7644171639076465,2.8018209139692387,0.11693966739456522,-0.006374130006039513,0.11056553738852572
7,20,2,75,1.2927583069559527,1.9628897441409636,3.2556480510969164,-0.17694973896911398,-0.3437848629948518,-0.5207346019639657,1.0374037500615922,1.7644171639076465,2.8018209139692387,0.11693966739456522,-0.006374130006039513,0.11056553738852572
8,20,2,90,1.2930256872603472,1.9988332964888373,3.2918589837491843,-0.07348323778902728,-0.2734320119505104,-0.3469152497395377,1.0374037500615922,1.7644171639076465,2.8018209139692387,0.11693966739456522,-0.006374130006039513,0.11056553738852572
9,20,2,105,1.2100155619017934,1.9231137407634373,3.1331293026652305,0.010218498557831076,-0.173666054183242,-0.1634475556254109,1.0374037500615922,1.7644171639076465,2.8018209139692387,0.11693966739456522,-0.006374130006039513,0.11056553738852572
10,20,2,120,1.0632008564774713,1.8019140685000972,2.8651149249775685,0.06644222310664183,-0.05908073403084655,0.007361489075795284,1.0374037500615922,1.7644171639076465,2.8018209139692387,0.11693966739456522,-0.006374130006039513,0.11056553738852572
11,20,2,135,0.8496671256694819,1.5334769752835828,2.3831441009530647,0.11469303621788003,0.05969812788608863,0.17439116410396865,1.0374037500615922,1.7644171639076465,2.8018209139692387,0.11693966739456522,-0.006374130006039513,0.11056553738852572
12,20,2,150,0.5971047830967257,1.200801127316545,1.7979059104132709,0.14600237859478113,0.14261428816624086,0.288616666761022,1.0374037500615922,1.7644171639076465,2.8018209139692387,0.11693966739456522,-0.006374130006039513,0.11056553738852572
13,20,2,165,0.43990171622690927,0.9499461989732787,1.3898479152001877,0.1451212968298244,0.14722086883909266,0.2923421656689171,1.0374037500615922,1.7644171639076465,2.8018209139692387,0.11693966739456522,-0.006374130006039513,0.11056553738852572
14,20,2,-165,0.6396971923472062,1.184196810413654,1.8238940027608601,0.13696619754579567,0.04290218843171473,0.1798683859775104,1.0374037500615922,1.7644171639076465,2.8018209139692387,0.11693966739456522,-0.006374130006039513,0.11056553738852572
15,20,2,-150,0.805792564197453,1.408419387199695,2.214211951397148,0.14903014223216132,0.022847137714682234,0.17187727994684354,1.0374037500615922,1.7644171639076465,2.8018209139692387,0.11693966739456522,-0.006374130006039513,0.11056553738852572
16,20,2,-135,0.9139746353554209,1.5532376530178724,2.467212288373293,0.15933956282588194,0.03036523525447995,0.1897047980803619,1.0374037500615922,1.7644171639076465,2.8018209139692387,0.11693966739456522,-0.006374130006039513,0.11056553738852572
17,20,2,-120,0.9872864951017267,1.6431792944579642,2.630465789559691,0.16918043126714002,0.045083502419755006,0.21426393368689503,1.0374037500615922,1.7644171639076465,2.8018209139692387,0.11693966739456522,-0.006374130006039513,0.11056553738852572
18,20,2,-105,1.0396395587021472,1.6858328192065923,2.7254723779087398,0.1872158694183136,0.0594776027969405,0.2466934722152541,1.0374037500615922,1.7644171639076465,2.8018209139692387,0.11693966739456522,-0.006374130006039513,0.11056553738852572
19,20,2,-90,1.07111658672709,1.7243737802257257,2.7954903669528157,0.2119803785634125,0.07814431311439377,0.29012469167780625,1.0374037500615922,1.7644171639076465,2.8018209139692387,0.11693966739456522,-0.006374130006039513,0.11056553738852572
20,20,2,-75,1.0823745707816381,1.7364822882961568,2.818856859077795,0.23689767645387963,0.09506044638179068,0.33195812283567033,1.0374037500615922,1.7644171639076465,2.8018209139692387,0.11693966739456522,-0.006374130006039513,0.11056553738852572
21,20,2,-60,1.074558153216509,1.7330445415253721,2.807602694741881,0.25583584144227045,0.10754748856887184,0.3633833300111423,1.0374037500615922,1.7644171639076465,2.8018209139692387,0.11693966739456522,-0.006374130006039513,0.11056553738852572
22,20,2,-45,1.045044460569548,1.7128127651595304,2.7578572257290785,0.25867007266885095,0.10729806094205822,0.36596813361090913,1.0374037500615922,1.7644171639076465,2.8018209139692387,0.11693966739456522,-0.006374130006039513,0.11056553738852572
